mu phi sigma nu
-0.4470 0.9878 0.1063 13
-0.6699 0.9815 0.1099 11
-0.4388 0.9819 0.1115 11
-0.3619 0.9848 0.1097 10
-0.3548 0.9787 0.1117 9
-0.3169 0.9805 0.1124 9
-0.4196 0.9802 0.1142 9
-0.1022 0.9902 0.1137 9
-0.2646 0.9785 0.1111 9
-0.5007 0.9771 0.1121 8
-0.3670 0.9875 0.1105 10
-0.6353 0.9883 0.1115 8
-0.0358 0.9936 0.1116 9
-0.5645 0.9792 0.1128 9
-0.2741 0.9820 0.1135 9
-0.5304 0.9825 0.1167 11
-0.6235 0.9895 0.1164 10
-0.3028 0.9849 0.1133 11
-0.3489 0.9853 0.1128 9
-0.2547 0.9843 0.1111 13
-0.4680 0.9837 0.1119 9
-0.6385 0.9848 0.1128 11
-0.3720 0.9853 0.1130 10
-0.5328 0.9849 0.1145 11
-0.5783 0.9850 0.1141 11
-0.1798 0.9824 0.1117 9
-0.3365 0.9869 0.1148 10
-0.2153 0.9790 0.1201 8
-0.2546 0.9859 0.1211 10
-0.2350 0.9864 0.1181 11
-0.6212 0.9815 0.1214 10
-0.3777 0.9767 0.1217 9
-0.4625 0.9816 0.1196 13
-0.4256 0.9866 0.1196 10
-0.5674 0.9864 0.1160 9
-0.4729 0.9938 0.1210 12
-0.4457 0.9732 0.1220 8
-0.5183 0.9836 0.1185 9
-0.1625 0.9794 0.1208 9
-0.5484 0.9780 0.1180 12
-0.4981 0.9831 0.1190 9
-0.4689 0.9854 0.1173 13
-0.2654 0.9732 0.1247 8
-0.3930 0.9801 0.1216 9
-0.5635 0.9789 0.1205 13
-0.4085 0.9819 0.1200 11
-0.4296 0.9800 0.1182 19
-0.5643 0.9823 0.1192 11
-0.3429 0.9817 0.1184 10
-0.3624 0.9815 0.1185 9
-0.4263 0.9829 0.1220 11
-0.4214 0.9887 0.1174 14
-0.4745 0.9899 0.1188 10
-0.4294 0.9851 0.1197 10
-0.3721 0.9806 0.1188 11
-0.3635 0.9699 0.1209 9
-0.3516 0.9815 0.1229 13
-0.5606 0.9766 0.1223 10
-0.4687 0.9761 0.1234 10
-0.5577 0.9822 0.1228 9
-0.1631 0.9819 0.1240 9
-0.3046 0.9743 0.1257 9
-0.2864 0.9761 0.1253 13
-0.4448 0.9741 0.1292 11
-0.3656 0.9814 0.1249 15
-0.3651 0.9819 0.1227 10
-0.4029 0.9780 0.1236 12
-0.3143 0.9738 0.1265 18
-0.3923 0.9748 0.1216 14
-0.3941 0.9828 0.1211 12
-0.1307 0.9890 0.1205 11
-0.3452 0.9816 0.1225 10
-0.2925 0.9771 0.1220 12
-0.4731 0.9717 0.1254 16
-0.6525 0.9846 0.1281 9
-0.5170 0.9838 0.1310 12
-0.3844 0.9773 0.1252 13
-0.3507 0.9737 0.1266 11
-0.4607 0.9728 0.1304 10
-0.4858 0.9788 0.1325 11
-0.5647 0.9800 0.1299 13
-0.1468 0.9815 0.1344 12
-0.4446 0.9728 0.1330 11
-0.4063 0.9736 0.1335 13
-0.4151 0.9824 0.1348 12
-0.3254 0.9806 0.1334 14
-0.2500 0.9770 0.1333 11
-0.3010 0.9756 0.1258 10
-0.4120 0.9811 0.1283 10
-0.4489 0.9825 0.1245 11
-0.3807 0.9800 0.1252 13
-0.5790 0.9820 0.1258 11
-0.6403 0.9787 0.1258 12
-0.3823 0.9669 0.1230 11
-0.4114 0.9722 0.1228 12
-0.2789 0.9786 0.1236 12
-0.2920 0.9834 0.1301 14
-0.3023 0.9782 0.1304 9
-0.1889 0.9854 0.1335 15
-0.7192 0.9908 0.1313 17
-0.5229 0.9772 0.1293 10
-0.2437 0.9818 0.1310 14
-0.4070 0.9771 0.1325 12
-0.4103 0.9699 0.1335 12
-0.4874 0.9675 0.1333 17
-0.2833 0.9681 0.1332 12
-0.3625 0.9721 0.1345 10
-0.2765 0.9844 0.1294 11
0.0075 0.9812 0.1307 12
-0.1754 0.9803 0.1297 13
-0.0882 0.9793 0.1330 12
-0.4757 0.9750 0.1337 20
-0.1904 0.9791 0.1270 13
-0.4354 0.9719 0.1285 15
-0.4547 0.9760 0.1232 17
-0.3214 0.9783 0.1238 12
-0.1747 0.9754 0.1219 15
-0.3250 0.9852 0.1204 15
-0.3239 0.9778 0.1188 15
-0.4516 0.9679 0.1227 11
-0.3284 0.9871 0.1269 13
-0.4783 0.9736 0.1258 15
-0.2619 0.9804 0.1299 18
-0.3352 0.9783 0.1353 15
-0.4680 0.9807 0.1299 12
-0.1722 0.9843 0.1236 18
-0.2477 0.9757 0.1266 13
-0.4677 0.9792 0.1320 13
-0.1881 0.9789 0.1317 15
-0.2014 0.9784 0.1351 12
-0.3416 0.9768 0.1274 11
-0.2692 0.9773 0.1263 14
-0.3992 0.9778 0.1216 12
-0.1692 0.9818 0.1278 16
-0.2398 0.9701 0.1251 12
-0.4204 0.9780 0.1249 11
-0.4121 0.9804 0.1265 12
-0.4726 0.9702 0.1268 15
-0.5670 0.9734 0.1270 19
-0.4045 0.9787 0.1257 12
-0.3067 0.9754 0.1239 14
-0.3656 0.9823 0.1206 11
-0.6308 0.9799 0.1217 15
-0.4490 0.9736 0.1194 14
-0.3194 0.9745 0.1200 12
-0.1963 0.9801 0.1157 10
-0.1860 0.9828 0.1159 11
-0.4006 0.9804 0.1156 13
-0.5468 0.9741 0.1189 8
-0.4556 0.9786 0.1210 13
-0.3670 0.9788 0.1208 11
-0.3013 0.9821 0.1180 10
-0.2489 0.9829 0.1191 12
-0.4353 0.9777 0.1218 12
-0.4055 0.9795 0.1209 13
-0.2148 0.9818 0.1215 14
-0.5854 0.9753 0.1200 15
-0.5844 0.9773 0.1227 12
-0.5230 0.9749 0.1235 18
-0.3955 0.9718 0.1242 14
-0.2285 0.9775 0.1267 15
-0.2566 0.9711 0.1273 13
-0.2395 0.9709 0.1275 11
-0.3814 0.9761 0.1275 17
-0.3936 0.9768 0.1261 17
-0.3180 0.9764 0.1267 14
-0.4899 0.9749 0.1234 13
-0.2659 0.9722 0.1242 11
-0.3780 0.9761 0.1206 11
-0.6245 0.9791 0.1200 10
-0.5460 0.9743 0.1182 9
-0.3407 0.9807 0.1209 12
-0.3748 0.9797 0.1207 12
-0.5100 0.9825 0.1188 12
-0.4469 0.9777 0.1237 12
-0.7785 0.9792 0.1251 10
-0.4716 0.9751 0.1256 11
-0.2865 0.9742 0.1274 12
-0.4758 0.9715 0.1262 13
-0.4314 0.9862 0.1203 11
-0.8386 0.9854 0.1205 15
-0.5758 0.9724 0.1212 11
-0.2743 0.9796 0.1231 11
-0.5087 0.9790 0.1193 10
-0.3015 0.9855 0.1198 11
-0.4554 0.9669 0.1201 13
-0.3089 0.9753 0.1212 10
-0.3124 0.9715 0.1240 15
-0.4735 0.9770 0.1198 11
-0.5790 0.9776 0.1261 9
-0.4408 0.9762 0.1237 13
-0.3643 0.9712 0.1193 10
-0.4037 0.9732 0.1179 9
-0.3703 0.9699 0.1191 13
-0.4363 0.9818 0.1185 13
-0.5000 0.9819 0.1185 10
-0.4834 0.9823 0.1180 9
-0.5584 0.9870 0.1203 11
-0.2372 0.9783 0.1160 11
-0.3248 0.9874 0.1129 12
-0.1255 0.9831 0.1126 11
-0.4047 0.9771 0.1116 10
-0.3591 0.9821 0.1060 11
-0.2651 0.9847 0.1045 11
-0.3969 0.9830 0.1070 9
-0.3893 0.9883 0.1084 14
-0.5471 0.9761 0.1061 8
-0.3275 0.9741 0.1040 8
-0.4645 0.9806 0.1031 8
-0.5026 0.9705 0.1043 11
-0.5701 0.9779 0.1037 11
-0.3769 0.9824 0.1049 11
-0.5118 0.9869 0.1046 12
-0.1648 0.9861 0.1066 9
-0.3926 0.9739 0.1052 10
-0.3618 0.9850 0.1087 9
-0.3208 0.9817 0.1077 11
-0.5035 0.9907 0.1083 8
-0.5049 0.9791 0.1093 8
-0.4528 0.9872 0.1044 12
-0.4208 0.9858 0.1033 14
0.0178 0.9881 0.1092 8
-0.5973 0.9791 0.1046 10
-0.3192 0.9890 0.1021 9
-0.7362 0.9861 0.1007 11
-0.1478 0.9858 0.1056 9
-0.2356 0.9859 0.1074 11
-0.2541 0.9811 0.1071 13
-0.3477 0.9799 0.1048 11
-0.1414 0.9856 0.0998 9
-0.4703 0.9903 0.0971 15
-0.3096 0.9850 0.0975 12
-0.3739 0.9825 0.0983 13
-0.3974 0.9824 0.0979 13
-0.1722 0.9885 0.0984 11
-0.3861 0.9733 0.1010 10
-0.5267 0.9923 0.1028 12
-0.2809 0.9878 0.1005 14
-0.0922 0.9883 0.1003 14
-0.1886 0.9818 0.0976 11
-0.6915 0.9890 0.1017 11
-0.5342 0.9859 0.1012 12
-0.4428 0.9821 0.1008 10
-0.2220 0.9837 0.1040 13
-0.4104 0.9852 0.1026 16
-0.2718 0.9922 0.1023 13
-0.5758 0.9840 0.1019 13
-0.2941 0.9858 0.1036 14
-0.2962 0.9868 0.1059 11
-0.5263 0.9785 0.1074 13
-0.3091 0.9778 0.1106 13
-0.3160 0.9812 0.1097 12
-0.1619 0.9894 0.1081 17
-0.0839 0.9898 0.1088 12
-0.3344 0.9885 0.1089 12
-0.8920 0.9916 0.1079 12
-0.4490 0.9810 0.1060 10
-0.0596 0.9926 0.1018 11
-0.3694 0.9850 0.1004 14
-0.0927 0.9846 0.1034 10
-0.5754 0.9815 0.1008 17
-0.4411 0.9879 0.1013 13
-0.3396 0.9864 0.1040 11
-0.2406 0.9816 0.1031 12
-0.2071 0.9812 0.1031 13
-0.2535 0.9796 0.1037 10
-0.4614 0.9781 0.1030 10
-0.2841 0.9873 0.1036 11
-0.1989 0.9891 0.1034 11
-0.1635 0.9866 0.1056 10
-0.2423 0.9812 0.1034 10
-0.3669 0.9879 0.1055 11
-0.2231 0.9853 0.1087 16
-0.3248 0.9813 0.1047 15
-0.4339 0.9822 0.1045 16
-0.3383 0.9852 0.1048 14
-0.5824 0.9865 0.1087 16
-0.1872 0.9793 0.1122 11
-0.3970 0.9827 0.1094 11
-0.3740 0.9877 0.1103 13
-0.3919 0.9862 0.1123 13
-0.2936 0.9874 0.1124 11
-0.4836 0.9915 0.1130 11
-0.3886 0.9873 0.1149 11
-0.0391 0.9854 0.1156 10
-0.3289 0.9811 0.1155 22
-0.3307 0.9797 0.1171 13
-0.0656 0.9839 0.1175 13
-0.1050 0.9863 0.1187 12
-0.5229 0.9809 0.1167 9
-0.1542 0.9897 0.1140 13
0.1593 0.9892 0.1172 13
-0.0803 0.9855 0.1151 11
-0.2012 0.9774 0.1091 10
-0.3300 0.9718 0.1124 13
-0.2743 0.9859 0.1145 12
-0.1809 0.9790 0.1182 14
-0.4383 0.9735 0.1166 12
-0.4150 0.9806 0.1152 12
-0.3650 0.9735 0.1118 16
-0.4314 0.9789 0.1100 17
-0.3977 0.9763 0.1143 11
-0.3120 0.9798 0.1154 14
-0.6064 0.9851 0.1158 11
-0.2159 0.9765 0.1152 15
-0.3378 0.9830 0.1152 12
-0.2515 0.9834 0.1166 14
-0.2949 0.9691 0.1125 14
-0.2808 0.9763 0.1123 10
-0.2679 0.9878 0.1163 11
-0.4946 0.9783 0.1188 10
-0.3903 0.9797 0.1156 13
-0.3820 0.9780 0.1158 14
-0.2720 0.9816 0.1161 14
-0.2629 0.9811 0.1193 14
-0.0529 0.9805 0.1206 11
-0.6020 0.9808 0.1168 11
-0.3964 0.9780 0.1185 10
-0.3408 0.9622 0.1182 15
-0.2795 0.9769 0.1205 13
-0.5984 0.9775 0.1195 10
-0.3991 0.9702 0.1200 12
-0.2637 0.9707 0.1197 10
-0.3151 0.9773 0.1209 12
-0.3698 0.9798 0.1136 11
-0.4777 0.9831 0.1102 17
-0.4002 0.9776 0.1101 11
-0.3640 0.9727 0.1128 12
-0.2815 0.9811 0.1119 13
-0.2310 0.9796 0.1175 13
-0.3792 0.9784 0.1159 12
-0.1195 0.9768 0.1156 15
-0.3663 0.9861 0.1112 12
-0.4253 0.9761 0.1112 12
-0.3176 0.9777 0.1171 12
-0.1556 0.9773 0.1167 15
-0.2298 0.9763 0.1187 13
-0.5132 0.9816 0.1170 12
-0.2500 0.9758 0.1188 13
-0.2751 0.9781 0.1213 12
-0.2548 0.9834 0.1226 12
-0.1989 0.9804 0.1180 20
-0.2180 0.9784 0.1178 12
-0.2529 0.9739 0.1198 11
-0.3341 0.9773 0.1241 14
-0.3460 0.9775 0.1205 9
-0.2355 0.9750 0.1234 12
-0.1894 0.9757 0.1295 13
-0.3885 0.9801 0.1277 15
0.0204 0.9764 0.1264 11
-0.3170 0.9754 0.1223 17
-0.3122 0.9835 0.1219 17
-0.5603 0.9824 0.1238 17
-0.0357 0.9854 0.1258 14
-0.2111 0.9716 0.1291 12
-0.4021 0.9787 0.1301 15
-0.3545 0.9654 0.1334 11
-0.3066 0.9883 0.1365 12
0.0387 0.9767 0.1320 13
-0.4140 0.9664 0.1283 14
-0.1772 0.9819 0.1256 14
-0.1338 0.9717 0.1222 11
-0.3750 0.9817 0.1275 15
-0.4418 0.9837 0.1283 11
-0.0306 0.9762 0.1305 19
-0.1566 0.9797 0.1263 11
-0.3314 0.9725 0.1268 16
-0.2342 0.9676 0.1317 17
-0.3310 0.9857 0.1322 10
-0.4757 0.9750 0.1310 14
-0.3744 0.9730 0.1291 15
-0.3895 0.9718 0.1270 12
-0.4546 0.9790 0.1269 12
-0.5563 0.9775 0.1274 11
-0.3553 0.9748 0.1268 12
-0.3383 0.9830 0.1256 14
-0.4599 0.9815 0.1191 13
-0.2912 0.9672 0.1203 15
-0.2905 0.9733 0.1214 14
-0.3410 0.9807 0.1227 18
-0.0769 0.9825 0.1232 12
-0.3764 0.9865 0.1244 15
-0.4546 0.9855 0.1254 17
-0.4083 0.9789 0.1274 17
-0.0926 0.9807 0.1267 14
-0.4663 0.9809 0.1272 11
-0.3921 0.9700 0.1278 20
-0.3633 0.9761 0.1276 12
-0.3196 0.9768 0.1306 12
-0.2322 0.9757 0.1261 12
-0.4761 0.9824 0.1291 14
-0.1674 0.9782 0.1256 14
-0.4327 0.9827 0.1265 16
-0.2871 0.9783 0.1215 16
-0.2368 0.9809 0.1241 17
-0.4297 0.9783 0.1280 29
-0.2526 0.9830 0.1288 23
-0.0212 0.9843 0.1307 17
0.0013 0.9862 0.1288 22
0.1378 0.9873 0.1285 16
-0.5773 0.9781 0.1277 14
-0.2473 0.9804 0.1272 14
-0.4375 0.9804 0.1267 13
-0.4450 0.9701 0.1291 18
-0.3313 0.9804 0.1295 21
-0.0299 0.9797 0.1254 19
-0.1467 0.9803 0.1258 16
-0.2483 0.9815 0.1231 13
-0.2832 0.9822 0.1247 14
-0.1674 0.9682 0.1245 16
-0.2184 0.9859 0.1216 22
-0.1692 0.9797 0.1207 15
-0.5104 0.9835 0.1218 14
-0.4280 0.9806 0.1192 13
-0.3811 0.9763 0.1214 14
-0.4634 0.9886 0.1211 12
0.0170 0.9790 0.1210 15
-0.3314 0.9705 0.1227 11
-0.2512 0.9869 0.1195 12
-0.2973 0.9816 0.1205 11
-0.0475 0.9892 0.1176 13
-0.0800 0.9812 0.1152 11
-0.1533 0.9830 0.1158 15
-0.1641 0.9835 0.1172 15
-0.4104 0.9853 0.1157 15
-0.2191 0.9847 0.1164 16
-0.4092 0.9821 0.1171 10
-0.0795 0.9968 0.1163 12
1.2926 0.9955 0.1158 9
0.6311 0.9949 0.1156 11
0.0152 0.9880 0.1125 8
-0.3164 0.9914 0.1111 12
-0.3621 0.9968 0.1085 13
0.8044 0.9936 0.1071 13
-0.0234 0.9842 0.1082 12
-0.1212 0.9885 0.1086 17
-0.2804 0.9753 0.1097 11
-0.3358 0.9865 0.1088 11
-0.1710 0.9852 0.1116 14
-0.1264 0.9850 0.1107 10
-0.0699 0.9823 0.1090 18
-0.1876 0.9809 0.1088 14
-0.2594 0.9864 0.1107 15
-0.3475 0.9816 0.1135 12
-0.1583 0.9910 0.1105 10
-0.1897 0.9837 0.1131 18
-0.3422 0.9781 0.1113 13
-0.2050 0.9894 0.1082 17
-0.3111 0.9812 0.1101 14
-0.4857 0.9830 0.1093 19
-0.2771 0.9780 0.1111 11
-0.1243 0.9787 0.1144 16
-0.1979 0.9851 0.1152 15
-0.2674 0.9800 0.1167 14
-0.2446 0.9857 0.1171 15
-0.5443 0.9890 0.1175 12
-0.0675 0.9809 0.1158 13
-0.5391 0.9813 0.1160 12
-0.3812 0.9835 0.1156 15
-0.4050 0.9808 0.1151 13
-0.2857 0.9747 0.1161 11
-0.3357 0.9808 0.1182 13
-0.4396 0.9828 0.1186 17
-0.3866 0.9782 0.1209 14
-0.1894 0.9766 0.1152 13
-0.2878 0.9846 0.1141 13
-0.3835 0.9846 0.1130 12
-0.3529 0.9863 0.1148 16
-0.5169 0.9851 0.1132 10
-0.2618 0.9827 0.1095 17
-0.4474 0.9831 0.1053 13
-0.5715 0.9884 0.1052 13
-0.3129 0.9878 0.1048 13
-0.2618 0.9901 0.1046 14
-0.7037 0.9859 0.1071 11
-0.1342 0.9809 0.1049 11
-0.1047 0.9840 0.1039 15
-0.3829 0.9800 0.1071 13
-0.4640 0.9862 0.1048 10
-0.3865 0.9827 0.1067 11
-0.2379 0.9855 0.1071 14
-0.1673 0.9797 0.1064 12
-0.3847 0.9861 0.1070 10
-0.6523 0.9883 0.1060 14
0.0114 0.9848 0.1060 15
-0.1138 0.9861 0.1047 16
-0.3150 0.9783 0.1054 15
-0.3016 0.9889 0.1071 14
-0.4117 0.9823 0.1082 23
-0.2860 0.9764 0.1124 13
-0.3804 0.9779 0.1126 13
-0.3080 0.9781 0.1075 11
-0.4748 0.9850 0.1051 13
-0.2842 0.9836 0.1044 16
-0.2078 0.9841 0.1044 10
-0.2827 0.9825 0.1085 17
-0.4460 0.9786 0.1085 14
-0.1102 0.9845 0.1084 19
-0.3283 0.9862 0.1053 12
-0.0910 0.9827 0.1080 20
-0.3617 0.9889 0.1076 13
-0.3563 0.9809 0.1090 15
-0.5424 0.9866 0.1075 16
-0.5057 0.9792 0.1090 17
-0.3452 0.9833 0.1133 16
-0.1567 0.9833 0.1133 13
-0.5461 0.9854 0.1094 12
-0.1008 0.9872 0.1135 16
-0.2969 0.9798 0.1147 13
-0.3705 0.9831 0.1170 14
-0.1399 0.9840 0.1167 11
-0.3331 0.9833 0.1162 13
-0.1755 0.9838 0.1176 17
-0.5184 0.9825 0.1154 15
-0.3088 0.9872 0.1154 16
-0.0837 0.9760 0.1206 12
-0.3054 0.9794 0.1184 11
-0.3464 0.9795 0.1226 20
-0.1322 0.9864 0.1196 10
-0.5423 0.9848 0.1190 18
-0.0216 0.9903 0.1168 20
-0.7364 0.9847 0.1154 18
-0.2376 0.9867 0.1157 10
-0.1225 0.9851 0.1163 14
-0.3177 0.9848 0.1170 11
-0.3015 0.9860 0.1141 15
-0.3375 0.9786 0.1105 15
-0.1789 0.9786 0.1103 13
-0.4147 0.9904 0.1130 12
-0.7993 0.9840 0.1114 17
-0.4746 0.9845 0.1063 9
-0.2386 0.9829 0.1052 11
-0.2356 0.9840 0.1067 13
-0.3348 0.9829 0.1102 15
-0.3608 0.9827 0.1054 11
-0.5548 0.9855 0.1067 13
-0.4316 0.9812 0.1065 12
-0.1446 0.9859 0.1099 12
-0.3672 0.9862 0.1135 17
-0.2901 0.9877 0.1144 10
-0.3201 0.9848 0.1158 15
-0.3010 0.9839 0.1151 12
-0.3287 0.9874 0.1103 18
0.1829 0.9868 0.1100 13
-0.5259 0.9885 0.1130 11
-0.0818 0.9908 0.1146 11
-0.1712 0.9813 0.1136 10
-0.2543 0.9879 0.1127 11
-0.3523 0.9860 0.1114 14
-0.1948 0.9845 0.1145 12
-0.2850 0.9850 0.1126 12
-0.4220 0.9881 0.1086 13
-0.2765 0.9805 0.1084 12
-0.5140 0.9777 0.1099 9
-0.2974 0.9857 0.1077 11
-0.4185 0.9816 0.1100 15
-0.1484 0.9800 0.1110 13
-0.3598 0.9842 0.1149 20
-0.1448 0.9781 0.1124 18
-0.2525 0.9806 0.1137 14
-0.4027 0.9826 0.1124 11
-0.4627 0.9830 0.1146 11
-0.3956 0.9814 0.1195 14
-0.4226 0.9839 0.1225 14
-0.4682 0.9743 0.1210 13
-0.3902 0.9777 0.1258 11
-0.5576 0.9767 0.1259 10
-0.1577 0.9779 0.1274 13
-0.1667 0.9789 0.1233 12
-0.5664 0.9771 0.1238 11
-0.1301 0.9830 0.1241 13
-0.0710 0.9830 0.1271 11
-0.3142 0.9812 0.1292 15
-0.4251 0.9799 0.1343 14
-0.3970 0.9811 0.1345 13
-0.3495 0.9827 0.1309 14
-0.5584 0.9718 0.1342 17
-0.1508 0.9815 0.1340 13
-0.1645 0.9789 0.1290 15
-0.2119 0.9784 0.1286 14
-0.4088 0.9723 0.1323 10
-0.2954 0.9765 0.1336 11
-0.1920 0.9817 0.1327 12
-0.4740 0.9755 0.1277 12
-0.4637 0.9760 0.1212 11
-0.2384 0.9770 0.1229 14
-0.2358 0.9736 0.1287 11
-0.4347 0.9734 0.1218 11
-0.2412 0.9772 0.1230 12
-0.4075 0.9821 0.1228 15
-0.1403 0.9858 0.1211 11
-0.3999 0.9833 0.1234 10
-0.1349 0.9876 0.1213 11
-0.0117 0.9866 0.1194 13
-0.3531 0.9804 0.1193 8
-0.5000 0.9844 0.1180 10
-0.2456 0.9756 0.1151 12
-0.4256 0.9861 0.1195 12
-0.4890 0.9854 0.1222 12
-0.3785 0.9876 0.1210 11
-0.4562 0.9721 0.1204 14
-0.3941 0.9836 0.1263 13
-0.6262 0.9762 0.1250 9
-0.4448 0.9763 0.1219 10
-0.5005 0.9766 0.1220 11
-0.2588 0.9829 0.1255 9
-0.2913 0.9792 0.1236 17
-0.4298 0.9756 0.1228 14
-0.0214 0.9884 0.1261 14
-0.4773 0.9787 0.1215 9
-0.4149 0.9816 0.1252 18
-0.3157 0.9844 0.1239 11
-0.3870 0.9796 0.1256 10
-0.2817 0.9822 0.1221 11
-0.4406 0.9765 0.1251 13
-0.4337 0.9803 0.1217 10
-0.2812 0.9804 0.1178 10
-0.4010 0.9857 0.1188 11
-0.2458 0.9826 0.1167 13
-0.3559 0.9768 0.1161 9
-0.2886 0.9885 0.1173 11
-0.4587 0.9867 0.1134 12
-0.3873 0.9772 0.1201 9
-0.5311 0.9827 0.1202 11
-0.5547 0.9869 0.1167 11
-0.1684 0.9777 0.1220 11
-0.2968 0.9815 0.1186 14
-0.4085 0.9824 0.1190 16
-0.5433 0.9845 0.1182 11
-0.0726 0.9783 0.1146 10
-0.5580 0.9869 0.1171 10
-0.3031 0.9859 0.1195 12
-0.3202 0.9841 0.1216 10
-0.4370 0.9812 0.1195 10
-0.3073 0.9818 0.1185 12
-0.1866 0.9829 0.1163 14
-0.1740 0.9821 0.1196 11
-0.5596 0.9874 0.1159 11
-0.4875 0.9876 0.1175 9
-0.2712 0.9836 0.1185 14
-0.1688 0.9856 0.1164 10
-0.4422 0.9757 0.1171 12
-0.2561 0.9810 0.1137 11
-0.5142 0.9825 0.1175 12
-0.7076 0.9840 0.1170 10
-0.4199 0.9846 0.1146 9
-0.4594 0.9813 0.1114 13
-0.3134 0.9861 0.1120 10
-0.2448 0.9868 0.1093 9
-0.3584 0.9852 0.1117 15
-0.4491 0.9775 0.1098 10
-0.4312 0.9787 0.1085 11
-0.3030 0.9854 0.1085 10
-0.2702 0.9823 0.1100 12
-0.4056 0.9851 0.1126 11
-0.0474 0.9941 0.1130 10
-0.4726 0.9850 0.1117 11
-0.7665 0.9879 0.1137 11
-0.4035 0.9803 0.1082 11
-0.4645 0.9878 0.1116 14
-0.3057 0.9827 0.1124 9
-0.1464 0.9890 0.1103 10
-0.4878 0.9825 0.1136 11
-0.2184 0.9799 0.1141 13
-0.4347 0.9828 0.1171 10
-0.4377 0.9872 0.1200 13
-0.0753 0.9838 0.1188 14
-0.5335 0.9857 0.1208 13
-0.5354 0.9875 0.1174 11
-0.3697 0.9822 0.1165 14
-0.3441 0.9813 0.1149 10
-0.5697 0.9798 0.1148 10
-0.4310 0.9890 0.1152 14
-0.9459 0.9882 0.1171 12
-0.5471 0.9837 0.1181 10
-0.4645 0.9832 0.1203 15
-0.2733 0.9742 0.1174 11
-0.3170 0.9855 0.1218 13
-0.2365 0.9820 0.1175 15
-0.3502 0.9786 0.1174 14
-0.4155 0.9714 0.1196 13
-0.3233 0.9787 0.1163 12
-0.2859 0.9791 0.1174 12
-0.3530 0.9774 0.1193 11
-0.1952 0.9816 0.1215 11
-0.3505 0.9844 0.1192 14
-0.4663 0.9881 0.1186 11
-0.1536 0.9813 0.1231 12
-0.3859 0.9809 0.1198 15
-0.8183 0.9833 0.1204 12
-0.4878 0.9833 0.1145 14
-0.4216 0.9852 0.1193 16
-0.1832 0.9874 0.1179 13
-0.4891 0.9822 0.1194 13
-0.2963 0.9789 0.1155 13
-0.3595 0.9882 0.1206 11
-0.5213 0.9793 0.1221 12
-0.3620 0.9849 0.1238 12
-0.4406 0.9802 0.1231 14
-0.4866 0.9752 0.1258 10
-0.6091 0.9835 0.1320 14
-0.1051 0.9813 0.1322 12
-0.3616 0.9803 0.1241 13
-0.3316 0.9761 0.1218 10
-0.4738 0.9761 0.1273 10
-0.3482 0.9719 0.1293 11
-0.0513 0.9809 0.1263 10
-0.2093 0.9718 0.1260 13
-0.4240 0.9687 0.1247 11
-0.5096 0.9792 0.1257 11
-0.5222 0.9773 0.1266 13
-0.3929 0.9784 0.1255 11
-0.4376 0.9771 0.1275 12
-0.3604 0.9691 0.1279 13
-0.3917 0.9801 0.1258 14
-0.6335 0.9870 0.1259 13
-0.2950 0.9783 0.1276 14
-0.2894 0.9854 0.1272 13
0.0899 0.9832 0.1300 11
0.1282 0.9808 0.1318 13
-0.3527 0.9716 0.1304 13
-0.4818 0.9793 0.1323 16
-0.1296 0.9808 0.1262 13
-0.3091 0.9778 0.1285 9
-0.3467 0.9839 0.1321 16
-0.1220 0.9886 0.1281 15
-0.5550 0.9805 0.1277 13
-0.2148 0.9760 0.1252 16
-0.4605 0.9786 0.1256 12
-0.4450 0.9716 0.1244 15
-0.3380 0.9790 0.1265 11
-0.3053 0.9748 0.1260 17
-0.3348 0.9837 0.1286 16
-0.5746 0.9751 0.1237 12
-0.3255 0.9808 0.1275 13
-0.4529 0.9743 0.1283 13
-0.2413 0.9900 0.1336 13
-0.1149 0.9860 0.1351 14
-0.5038 0.9806 0.1341 12
-0.2348 0.9766 0.1345 16
-0.3972 0.9739 0.1310 14
-0.2282 0.9733 0.1266 10
-0.3289 0.9813 0.1255 12
-0.0725 0.9733 0.1261 10
-0.4898 0.9812 0.1250 12
-0.0644 0.9801 0.1213 12
-0.5265 0.9795 0.1243 17
-0.3577 0.9807 0.1208 13
-0.4104 0.9841 0.1224 15
-0.2973 0.9797 0.1250 11
-0.3692 0.9885 0.1214 11
-0.3978 0.9854 0.1210 13
-0.4855 0.9739 0.1203 13
-0.5592 0.9864 0.1255 9
-0.2542 0.9808 0.1239 14
-0.3128 0.9790 0.1245 16
-0.2795 0.9787 0.1213 9
-0.3675 0.9775 0.1203 10
-0.4016 0.9792 0.1191 11
-0.4823 0.9842 0.1178 11
-0.1245 0.9871 0.1180 12
-0.2790 0.9769 0.1148 13
-0.3240 0.9857 0.1122 16
-0.3339 0.9831 0.1116 9
-0.4515 0.9812 0.1143 10
-0.4076 0.9899 0.1143 13
-0.1182 0.9841 0.1130 14
-0.2828 0.9824 0.1117 14
-0.2929 0.9851 0.1132 12
-0.6971 0.9868 0.1170 12
-0.4007 0.9785 0.1146 13
-0.5209 0.9807 0.1194 12
-0.1522 0.9882 0.1152 11
-0.3314 0.9768 0.1182 12
-0.3959 0.9758 0.1239 14
-0.1362 0.9731 0.1283 13
-0.4175 0.9764 0.1264 13
-0.1899 0.9807 0.1242 15
